['316', '342', '197', '75', '4', '263', '130', '79', '285', '201']
['308', '154', '256', '317', '247', '74', '257', '331', '350', '378']
['32', '219', '274', '83', '141', '383', '347', '61', '299', '238']
['21', '358', '389', '66', '7', '181', '344', '193', '259', '364']
['33', '106', '253', '322', '196', '277', '348', '271', '62', '35']
['28', '89', '242', '147', '309', '320', '279', '50', '240', '208']
['241', '156', '255', '12', '57', '43', '107', '289', '135', '355']
['117', '205', '94', '84', '262', '168', '123', '298', '266', '153']
['20', '48', '171', '146', '105', '6', '231', '384', '2', '40']
['60', '200', '296', '144', '361', '275', '0', '189', '101', '152']
['70', '335', '42', '54', '216', '323', '30', '202', '267', '116']
['372', '228', '85', '307', '324', '68', '357', '305', '220', '311']
['38', '52', '210', '278', '67', '300', '329', '250', '340', '167']
['376', '206', '315', '252', '226', '115', '11', '264', '90', '360']
['269', '148', '125', '356', '96', '46', '229', '352', '294', '326']
['337', '114', '390', '327', '19', '375', '319', '234', '343', '191']
['399', '72', '163', '245', '281', '254', '73', '373', '385', '184']
['51', '258', '176', '392', '270', '224', '23', '265', '49', '15']
['134', '92', '359', '354', '69', '59', '230', '295', '237', '129']
['203', '211', '16', '26', '143', '82', '236', '132', '182', '58']
['133', '284', '397', '261', '380', '223', '204', '283', '56', '186']
['188', '248', '313', '112', '55', '362', '235', '159', '131', '175']
['221', '291', '164', '292', '369', '126', '217', '386', '382', '330']
['192', '366', '25', '37', '302', '288', '88', '140', '195', '24']
['377', '177', '71', '39', '109', '398', '222', '272', '339', '128']
['280', '381', '318', '65', '249', '365', '212', '97', '157', '119']
['214', '165', '363', '93', '41', '27', '345', '243', '396', '395']
['338', '328', '76', '170', '80', '124', '225', '86', '180', '286']
['303', '374', '388', '227', '379', '47', '17', '161', '260', '151']
['99', '87', '14', '160', '120', '34', '301', '333', '64', '353']
['121', '306', '98', '3', '78', '367', '31', '276', '166', '118']
['138', '172', '22', '187', '95', '142', '190', '100', '218', '158']
['207', '185', '312', '349', '102', '387', '368', '174', '293', '287']
['239', '314', '325', '169', '45', '8', '127']
['150', '321', '145', '91', '351', '104', '268', '332', '346', '139']
['113', '173', '297', '179', '310', '341', '10', '336', '103', '215']
['136', '371', '149', '394', '162', '393', '370', '77', '13', '183']
['122', '178', '194', '63', '9', '273', '304', '36', '213', '29']
['244', '110', '209']
['1', '391', '137', '18', '246', '81', '44', '198', '5', '111']
['155', '232', '53', '199', '251', '334', '108', '290', '282', '233']
