['343', '41', '149', '397', '116', '340', '341', '344', '346', '493']
['279', '218', '271', '277', '82', '492', '84', '422', '86', '87']
['63', '173', '326', '44', '67', '69', '283', '490', '92', '338']
['462', '354', '416', '460', '464', '465', '466', '451', '468', '40']
['210', '62', '88', '191', '212', '213', '216', '217', '219', '263']
['201', '203', '425', '211', '133', '27', '51', '321', '320', '65']
['363', '31', '236', '365', '366', '367', '369', '453', '111', '110']
['373', '188', '352', '273', '374', '375', '376', '377', '387', '350']
['420', '6', '137', '293', '313', '325', '421', '85', '74', '424']
['463', '135', '175', '170', '172', '176', '178', '452', '455', '456']
['200', '34', '414', '272', '371', '274', '275', '278', '295', '4']
['205', '32', '55', '202', '204', '206', '207', '208', '209', '407']
['461', '10', '469', '379', '370', '372', '342', '345', '347', '348']
['382', '73', '323', '368', '380', '381', '383', '385', '386', '388']
['141', '142', '143', '144', '146', '147', '319', '174', '177', '20']
['25', '13', '179', '21', '22', '23', '24', '26', '28', '29']
['77', '70', '71', '72', '76', '78', '195', '486', '300', '305']
['158', '150', '151', '152', '153', '155', '154', '159', '129', '121']
['404', '235', '401', '402', '403', '406', '408', '409', '75', '423']
['134', '130', '131', '138', '457', '289', '231', '12', '232', '233']
['19', '145', '11', '230', '15', '16', '17', '18', '33', '190']
['68', '115', '36', '254', '89', '83', '215', '214', '262', '364']
['196', '47', '192', '193', '194', '198', '288', '450', '91', '241']
['50', '48', '52', '53', '54', '276', '57', '58', '59', '298']
['297', '290', '292', '294', '296', '437', '284', '280', '281', '282']
['471', '79', '301', '472', '473', '474', '475', '476', '478', '479']
['361', '239', '246', '186', '360', '434', '286', '14', '114', '270']
['261', '60', '187', '444', '265', '268', '269', '427', '329', '405']
['183', '119', '180', '181', '222', '184', '248', '189', '136', '132']
['438', '430', '432', '433', '435', '436', '439', '480', '61', '477']
['199', '400', '197', '56', '327', '324', '328', '139', '458', '459']
['417', '410', '412', '413', '166', '415', '418', '419', '467', '251']
['224', '117', '220', '221', '182', '223', '226', '227', '229', '253']
['125', '120', '126', '128', '351', '353', '322', '355', '356', '357']
['93', '303', '94', '96', '97', '98', '99', '488', '482', '483']
['448', '127', '441', '442', '35', '264', '445', '446', '447', '449']
['105', '81', '103', '104', '107', '108', '315', '484', '487', '489']
['302', '0', '1', '2', '3', '5', '7', '9', '225', '122']
['396', '390', '391', '392', '393', '394', '395', '156', '148', '140']
['257', '250', '258', '359', '123', '358', '118', '399', '339', '8']
['331', '330', '332', '333', '431', '336', '337', '157', '80', '259']
['46', '42', '43', '66', '49', '238', '234', '384', '252', '335']
['164', '64', '310', '311', '312', '314', '109', '318', '291', '113']
['102', '101', '106', '485', '470', '260', '299', '454', '160', '398']
['37', '30', '443', '38', '39', '171', '481', '285', '266', '267']
['426', '334', '428', '429', '440', '389', '255', '185', '112', '100']
['306', '90', '304', '307', '308', '309', '237', '95', '124', '228']
['162', '45', '161', '163', '317', '165', '167', '168', '169', '378']
['494', '256', '240', '491', '349', '495', '497', '498', '499', '496']
['247', '362', '242', '243', '244', '245', '249', '316', '287', '411']
