['33', '251', '95', '105', '447', '450', '371', '199', '418', '345']
['71', '120', '274', '379', '111', '317', '332', '25', '297', '45']
['468', '435', '197', '112', '156', '357', '277', '479', '113', '486']
['347', '203', '460', '84', '138', '322', '80', '242', '153', '235']
['4', '98', '73', '34', '151', '443', '149', '237', '415', '117']
['485', '257', '270', '54', '134', '182', '409', '258', '327', '337']
['321', '249', '78', '428', '74', '399', '314', '248', '271', '200']
['35', '52', '143', '224', '411', '167', '306', '245', '330', '285']
['250', '228', '372', '278', '24', '436', '374', '487', '252', '449']
['125', '376', '305', '488', '266', '484', '16', '194', '126', '15']
['352', '87', '281', '419', '444', '343', '110', '43', '115', '355']
['333', '241', '238', '414', '395', '27', '310', '401', '344', '164']
['243', '287', '239', '64', '121', '177', '339', '386', '423', '188']
['178', '388', '136', '346', '394', '181', '130', '179', '254', '340']
['92', '473', '456', '416', '66', '56', '362', '412', '475', '89']
['20', '190', '367', '148', '410', '463', '289', '492', '236', '119']
['104', '366', '40', '466', '446', '169', '72', '172', '431', '83']
['157', '189', '495', '116', '209', '210', '315', '301', '176', '81']
['377', '359', '26', '313', '19', '472', '293', '99', '459', '233']
['68', '255', '329', '369', '106', '61', '23', '425', '32', '62']
['408', '37', '88', '22', '53', '221', '319', '413', '403', '300']
['30', '396', '216', '361', '353', '452', '94', '465', '311', '430']
['49', '325', '124', '100', '405', '128', '103', '398', '1', '82']
['230', '342', '420', '217', '75', '93', '58', '207', '152', '163']
['290', '102', '480', '247', '133', '477', '69', '350', '360', '145']
['79', '160', '201', '11', '8', '36', '159', '390', '154', '458']
['490', '146', '453', '41', '44', '338', '246', '402', '225', '375']
['193', '55', '70', '227', '400', '291', '77', '263', '132', '173']
['467', '491', '392', '175', '282', '286', '256', '147', '364', '424']
['101', '303', '47', '421', '422', '231', '21', '393', '3', '334']
['85', '222', '48', '417', '264', '6', '214', '328', '191', '378']
['499']
['341', '60', '385', '454', '383', '331', '90', '12', '437', '427']
['86', '180', '107', '17', '50', '320', '380', '192', '476', '439']
['382', '9', '67', '307', '109', '462', '294', '139', '440', '144']
['198', '299', '244', '326', '171', '234', '253', '166', '2', '202']
['406', '162', '426', '283', '63', '296', '316', '155', '474', '59']
['391', '129', '269', '288', '226', '39', '295', '122', '18', '470']
['219', '65', '259', '284', '204', '324', '183', '186', '76', '370']
['404', '14', '407', '349', '51', '482', '368', '5', '267', '351']
['272', '451', '131', '356', '481', '261', '302', '168', '195', '478']
['212', '10', '441', '211', '232', '434', '229', '28', '276', '397']
['318', '206', '389', '335', '114', '13', '7', '457', '184', '260']
['97', '461', '323', '240', '280', '223', '96', '494', '438', '464']
['57', '215', '268', '497', '218', '213', '384', '336', '135', '174']
['118', '429', '273', '348', '42', '0', '185', '262', '455', '127']
['91', '432', '29', '31', '150', '275', '279', '442', '304', '123']
['469', '108', '496', '354', '165', '196', '309', '433', '292']
['205', '381', '140', '365', '187', '161', '46', '498', '493', '142']
['137', '208', '38', '483', '489', '387', '448', '308', '445', '373']
['363', '298', '158', '170', '471', '312', '220', '265', '141', '358']
