['177', '175', '176', '178', '179', '180', '181', '204', '205', '206']
['300', '294', '295', '296', '297', '298', '299', '301', '105', '104']
['220', '217', '218', '219', '221', '222', '223', '145', '140', '141']
['353', '350', '351', '352', '354', '355', '356', '270', '271', '272']
['20', '14', '15', '16', '17', '18', '19', '21', '52', '49']
['360', '357', '358', '359', '361', '362', '363', '209', '203', '207']
['291', '287', '288', '289', '290', '292', '293', '234', '231', '232']
['86', '84', '85', '87', '88', '89', '90', '312', '308', '313']
['152', '147', '148', '149', '150', '151', '153', '487', '483', '484']
['154', '156', '157', '158', '159', '160', '268', '266', '267', '269']
['440', '434', '435', '436', '437', '438', '439', '441', '389', '385']
['456', '457', '458', '459', '460', '461', '83', '118', '172', '173']
['416', '413', '414', '415', '417', '418', '419', '96', '91', '92']
['249', '245', '246', '247', '248', '250', '251', '109', '106', '107']
['69', '63', '64', '65', '66', '67', '68', '70', '316', '143']
['264', '259', '260', '261', '262', '263', '265', '93', '94', '95']
['444', '442', '443', '445', '446', '447', '97', '236', '233', '235']
['397', '392', '393', '394', '395', '396', '398', '386', '387', '388']
['197', '198', '199', '200', '201', '202', '196', '114', '115', '116']
['31', '28', '29', '30', '32', '33', '34', '380', '379', '381']
['46', '42', '43', '44', '45', '47', '48', '188', '185', '187']
['136', '133', '134', '135', '137', '138', '139', '73', '71', '72']
['429', '427', '428', '430', '431', '432', '433', '399']
['212', '210', '211', '213', '214', '215', '216', '131', '126', '127']
['478', '476', '477', '479', '480', '481', '482', '309', '310', '311']
['467', '462', '463', '464', '465', '466', '468', '54', '50', '51']
['328', '322', '323', '324', '325', '326', '327', '329', '110', '108']
['253', '254', '255', '256', '257', '258', '474', '469', '470', '471']
['377', '371', '372', '373', '374', '375', '376', '378', '102', '103']
['241', '238', '239', '240', '242', '243', '244', '117', '112', '113']
['124', '119', '120', '121', '122', '123', '125', '142', '144', '146']
['340', '336', '337', '338', '339', '341', '342', '1', '2', '3']
['279', '273', '274', '275', '276', '277', '278', '280', '4', '0']
['364', '366', '367', '368', '369', '370', '472', '473', '475', '174']
['22', '23', '24', '25', '26', '27', '186', '182', '183', '184']
['453', '448', '449', '450', '451', '452', '454', '252', '365', '7']
['226', '224', '225', '227', '228', '229', '230', '384', '382', '383']
['315', '314', '317', '318', '319', '320', '321', '170', '169', '171']
['58', '56', '57', '59', '60', '61', '62', '75', '74', '76']
['191', '189', '190', '192', '193', '194', '195', '82', '77', '78']
['167', '161', '162', '163', '164', '165', '166', '168', '208', '237']
['303', '302', '304', '305', '306', '307', '53', '55', '5', '6']
['330', '331', '332', '333', '334', '335', '485', '486', '488', '489']
['400', '401', '402', '403', '404', '405', '132', '128', '129', '130']
['348', '343', '344', '345', '346', '347', '349', '391', '390']
['8', '9', '10', '11', '12', '13', '406', '111']
['286', '281', '282', '283', '284', '285', '100', '98', '99', '101']
['422', '420', '421', '423', '424', '425', '426', '455']
['41', '35', '36', '37', '38', '39', '40', '79', '80', '81']
['407', '408', '409', '410', '411', '412', '155']
