['202', '6', '23', '32', '43', '71', '80', '81', '85', '87']
['115', '4', '44', '46', '50', '225', '182', '199', '232', '31']
['79', '147', '139', '203', '11', '192', '200', '204', '125', '138']
['233', '75', '78', '86', '88', '120', '124', '134', '151', '181']
['110', '223', '103', '126', '162', '180', '113', '67', '210', '105']
['198', '18', '60', '99', '106', '108', '122', '141', '159', '228']
['167', '76', '164', '188', '30', '47', '107', '231', '246', '229']
['170', '20', '53', '84', '92', '132', '156', '163', '207', '29']
['158', '7', '174', '51', '178', '173', '221', '40', '153', '128']
['135', '14', '68', '161', '215', '237', '171', '209', '131', '39']
['239', '12', '48', '55', '73', '144', '157', '169', '183', '194']
['145', '82', '34', '111', '101', '205', '152', '236', '179', '218']
['211', '27', '176', '187', '189', '217', '216', '230', '241', '143']
['36', '22', '77', '97', '154', '133', '121', '118', '9', '61']
['38', '17', '112', '191', '64', '196', '165', '129', '56', '66']
['117', '28', '33', '116', '235', '195', '212', '213', '123', '146']
['243', '83', '94', '244', '166', '2', '98', '119', '201', '219']
['25', '65', '222', '186', '109', '96', '185', '234', '206', '149']
['214', '1', '127', '69', '104', '136', '148', '160', '193', '226']
['70', '13', '24', '114', '130', '74', '227', '190', '248', '0']
['249', '10', '35', '54', '137', '3', '172', '26', '72', '37']
['52', '8', '41', '57', '242', '197', '100', '247', '102', '155']
['150', '62', '177', '93', '140', '238', '168', '224', '63', '42']
['5', '89', '175', '58', '208', '59', '45', '16', '19', '91']
['15', '142', '49', '21', '220', '240', '245', '90', '184', '95']
