['250', '115', '320', '79', '75', '68', '123', '97', '117', '301']
['43', '157', '221', '242', '82', '369', '21', '185', '235', '394']
['208', '179', '63', '193', '139', '322', '225', '295', '58', '22']
['18', '293', '20', '359', '300', '161', '391', '253', '184', '374']
['6', '297', '204', '349', '99', '370', '118', '280', '215', '192']
['190', '381', '128', '277', '265', '186', '236', '98', '35', '61']
['183', '223', '60', '170', '314', '263', '131', '222', '287', '245']
['189', '305', '142', '177', '389', '40', '380', '9', '174', '70']
['365', '109', '352', '3', '30', '284', '310', '360', '375', '348']
['29', '111', '8', '25', '341', '258', '291', '2', '294', '181']
['321', '337', '34', '54', '353', '343', '167', '390', '366', '368']
['124', '377', '42', '256', '298', '33', '379', '218', '90', '234']
['239', '127', '172', '32', '148', '267', '10', '41', '156', '216']
['191', '27', '255', '331', '350', '154', '197', '346', '285', '383']
['363', '335', '67', '302', '327', '52', '342', '371', '81', '385']
['395', '232', '106', '281', '231', '46', '171', '299', '361', '288']
['4', '217', '26', '274', '241', '386', '257', '114', '39', '356']
['311', '351', '336', '137', '330', '362', '152', '0', '116', '266']
['57', '51', '7', '96', '289', '59', '65', '334', '275', '307']
['151', '110', '66', '248', '264', '203', '83', '309', '315', '378']
['249', '333', '176', '23', '364', '229', '344', '144', '77', '317']
['279', '158', '188', '367', '85', '48', '283', '64', '393', '122']
['326', '251', '159', '76', '107', '129', '292', '101', '206', '308']
['200', '113', '126', '165', '213', '278', '55', '149', '147', '325']
['102', '195', '355', '313', '261', '202', '306', '92', '338', '86']
['13', '87', '296', '143', '94', '345', '14', '347', '268', '303']
['276', '11', '269', '194', '108', '324', '237', '162', '72', '329']
['340', '84', '71', '227', '316', '132', '240', '384', '105', '89']
['272', '323', '262', '138', '49', '238', '74', '78', '69', '398']
['140', '226', '233', '88', '205', '38', '244', '103', '392', '50']
['150', '146', '178', '220', '166', '163', '31', '382', '120', '214']
['196', '91', '45', '252', '243', '133', '12', '119', '95', '354']
['246', '339', '199', '372', '5', '198', '169', '396', '24', '373']
['134', '135', '80', '62', '175', '100', '28', '182', '44', '16']
['318', '125', '397', '17', '259', '160', '304', '228', '47', '19']
['358', '37', '210', '247', '145', '112', '173', '73', '260', '211']
['282', '219', '164', '230', '388', '271', '319', '155', '1', '328']
['212', '53', '209', '187', '273', '121', '290', '180', '207', '332']
['153', '36', '93', '224', '387', '376', '136', '130', '168', '399']
['201', '15', '56', '104', '312', '141', '270', '286', '357', '254']
