['123', '2', '4', '5', '7', '9', '10', '13', '14', '19']
['437', '230', '235', '237', '238', '239', '240', '241', '242', '243']
['492', '1', '6', '8', '11', '12', '15', '16', '17', '20']
['425', '340', '343', '351', '355', '362', '364', '366', '369', '371']
['405', '3', '26', '27', '28', '31', '32', '34', '37', '38']
['278', '218', '220', '233', '250', '256', '261', '263', '266', '271']
['22', '18', '21', '23', '24', '25', '29', '30', '489', '53']
['467', '412', '414', '417', '418', '419', '420', '430', '432', '433']
['119', '33', '35', '36', '40', '41', '44', '46', '47', '48']
['389', '246', '248', '254', '255', '257', '260', '267', '269', '270']
['171', '42', '45', '49', '50', '51', '52', '54', '55', '57']
['483', '331', '347', '348', '354', '359', '372', '373', '375', '379']
['180', '56', '58', '62', '64', '65', '66', '67', '68', '69']
['226', '222', '298', '272', '461', '283', '471', '286', '308', '281']
['440', '43', '60', '63', '70', '72', '75', '77', '82', '83']
['488', '453', '456', '460', '462', '465', '473', '474', '475', '478']
['480', '39', '71', '73', '74', '78', '79', '84', '85', '88']
['427', '258', '259', '262', '264', '265', '273', '276', '279', '280']
['323', '59', '61', '76', '80', '89', '91', '92', '94', '95']
['466', '356', '376', '382', '383', '384', '385', '387', '388', '390']
['125', '86', '90', '98', '101', '103', '104', '105', '109', '112']
['470', '251', '268', '275', '282', '284', '288', '289', '290', '291']
['228', '81', '87', '96', '97', '99', '100', '106', '110', '113']
['491', '386', '413', '423', '428', '429', '435', '446', '447', '448']
['358', '107', '108', '111', '116', '117', '118', '120', '121', '122']
['380', '274', '277', '294', '296', '303', '304', '305', '306', '310']
['236', '93', '114', '115', '124', '126', '128', '130', '132', '133']
['434', '368', '392', '395', '396', '397', '401', '404', '409', '411']
['139', '127', '129', '131', '134', '135', '136', '137', '138', '140']
['398', '287', '293', '299', '307', '309', '311', '314', '315', '316']
['326', '102', '143', '147', '149', '150', '151', '152', '154', '158']
['472', '469', '477', '479', '499', '495', '494', '493', '498', '497']
['407', '142', '144', '145', '146', '148', '153', '155', '156', '159']
['464', '252', '285', '300', '302', '312', '313', '319', '321', '322']
['391', '161', '165', '166', '168', '170', '176', '177', '178', '179']
['496', '393', '394', '399', '400', '402', '403', '406', '408', '410']
['231', '141', '162', '163', '164', '167', '172', '174', '182', '183']
['365', '295', '297', '324', '327', '330', '332', '333', '334', '335']
['292', '157', '160', '169', '173', '181', '187', '188', '189', '190']
['500', '422', '436', '438', '449', '451', '454', '455', '458', '459']
['381', '175', '191', '192', '193', '194', '195', '198', '199', '204']
['487', '317', '318', '320', '325', '329', '341', '342', '344', '345']
['452', '185', '196', '197', '201', '203', '205', '207', '208', '209']
['450', '415', '416', '421', '424', '431', '441', '442', '443', '445']
['426', '184', '186', '202', '210', '211', '212', '214', '215', '216']
['444', '336', '337', '338', '339', '346', '349', '350', '352', '353']
['301', '200', '206', '217', '219', '221', '224', '227', '229', '232']
['486', '457', '463', '468', '476', '481', '482', '484', '485', '490']
['328', '213', '223', '225', '234', '244', '245', '247', '249', '253']
['439', '357', '360', '361', '363', '367', '370', '374', '377', '378']
