['447', '238', '779', '743', '615', '508', '900', '328', '637', '399', '864', '357', '228', '414', '363', '338', '729', '524', '185', '517', '929', '886', '30', '274', '234']
['115', '567', '348', '535', '710', '928', '412', '164', '287', '390', '354', '946', '718', '465', '76', '622', '289', '867', '159', '495', '221', '83', '705', '15', '386']
['45', '871', '433', '24', '482', '151', '879', '769', '560', '247', '738', '760', '955', '39', '584', '674', '736', '641', '844', '227', '408', '516', '298', '603', '961']
['684', '685', '636', '724', '279', '457', '241', '794', '980', '563', '145', '701', '591', '255', '654', '391', '426', '620', '644', '513', '72', '231', '305', '798', '625']
['629', '856', '815', '347', '340', '331', '398', '50', '385', '492', '673', '708', '281', '704', '99', '918', '371', '862', '570', '555', '923', '883', '240', '676', '716']
['147', '772', '775', '999', '943', '505', '7', '301', '199', '272', '646', '249', '380', '811', '905', '472', '294', '773', '652', '269', '678', '254', '372', '63', '935']
['865', '686', '446', '92', '493', '388', '239', '308', '650', '651', '206', '476', '583', '416', '728', '155', '180', '193', '971', '336', '167', '754', '919', '107', '930']
['462', '780', '659', '98', '702', '979', '469', '531', '20', '511', '699', '709', '126', '49', '967', '295', '552', '311', '47', '661', '504', '129', '404', '681', '64']
['952', '569', '964', '989', '940', '575', '366', '700', '731', '401', '752', '633', '920', '959', '477', '251', '383', '973', '962', '435', '235', '102', '621', '60', '411']
['658', '297', '310', '874', '842', '93', '601', '485', '507', '503', '520', '668', '890', '381', '317', '97', '647', '519', '262', '813', '454', '82', '313', '74', '672']
['46', '612', '778', '264', '602', '909', '430', '356', '285', '413', '481', '296', '742', '582', '461', '564', '421', '233', '382', '393', '387', '473', '889', '689', '163']
['924', '970', '451', '954', '987', '828', '981', '103', '364', '197', '132', '344', '586', '545', '609', '986', '764', '534', '687', '500', '730', '966', '406', '922', '885']
['907', '765', '173', '975', '204', '521', '139', '263', '463', '640', '441', '937', '721', '448', '751', '897', '759', '431', '467', '374', '936', '192', '770', '23', '951']
['614', '872', '292', '35', '200', '805', '590', '884', '835', '334', '409', '21', '540', '208', '459', '351', '266', '803', '812', '832', '682', '958', '303', '819', '359']
['714', '617', '831', '892', '365', '854', '283', '89', '376', '623', '968', '725', '827', '415', '88', '691', '758', '468', '848', '120', '55', '342', '267', '370', '568']
['532', '445', '882', '360', '175', '353', '566', '358', '450', '170', '118', '148', '830', '119', '998', '679', '957', '893', '144', '630', '137', '68', '917', '14', '202']
['829', '942', '866', '73', '117', '538', '938', '945', '804', '190', '977', '546', '996', '666', '84', '188', '515', '460', '806', '453', '109', '747', '628', '3', '786']
['887', '664', '260', '113', '307', '36', '48', '396', '683', '868', '33', '230', '172', '807', '1', '384', '134', '756', '18', '150', '439', '265', '876', '13', '539']
['232', '69', '527', '484', '855', '748', '707', '881', '727', '816', '210', '422', '891', '559', '488', '717', '306', '737', '149', '71', '253', '443', '70', '178', '34']
['315', '455', '518', '787', '562', '572', '397', '41', '156', '6', '960', '571', '595', '840', '703', '316', '597', '335', '130', '726', '131', '321', '402', '491', '558']
['28', '852', '750', '128', '31', '327', '782', '51', '40', '810', '375', '592', '100', '771', '944', '598', '271', '141', '589', '926', '212', '456', '325', '268', '720']
