['426', '0', '339', '134', '547', '481', '429']
['23', '236', '698', '666', '108', '404', '568']
['373', '171', '585', '479', '336', '125', '281']
['368', '317', '193', '625', '207', '47', '388']
['97', '314', '344', '123', '254', '10', '46']
['282', '280', '210', '227', '11', '313', '461']
['443', '642', '674', '418', '53', '533', '35']
['449', '250', '668', '378', '534', '569', '450']
['63', '107', '157', '436', '145', '58', '518']
['44', '630', '484', '348', '168', '526', '211']
['326', '320', '622', '45', '608', '570', '596']
['75', '39', '33', '658', '605', '671', '182']
['274', '491', '676', '356', '691', '295', '161']
['275', '303', '472', '72', '628', '70', '305']
['341', '597', '82', '692', '56', '20', '286']
['376', '358', '113', '36', '542', '503', '408']
['506', '667', '528', '222', '473', '564', '84']
['434', '560', '448', '487', '152', '401', '26']
['329', '115', '665', '230', '500', '347', '96']
['659', '441', '558', '430', '154', '246', '269']
['251', '607', '488', '155', '215', '315', '673']
['599', '595', '512', '374', '524', '308', '657']
['587', '245', '223', '188', '537', '438', '354']
['476', '202', '270', '477', '606', '413', '142']
['159', '399', '124', '447', '475', '175', '13']
['162', '617', '686', '95', '398', '186', '511']
['456', '122', '239', '130', '514', '140', '247']
['351', '520', '636', '639', '183', '77', '234']
['18', '697', '181', '495', '675', '588', '66']
['600', '160', '343', '206', '150', '9', '615']
['403', '294', '554', '165', '98', '302', '509']
['497', '136', '546', '543', '129', '80', '604']
['49', '504', '678', '237', '127', '271', '242']
['120', '690', '532', '544', '563', '169', '187']
['577', '593', '349', '255', '42', '694', '360']
['389', '452', '276', '462', '196', '244', '264']
['424', '345', '179', '637', '612', '158', '437']
['531', '417', '629', '149', '561', '191', '346']
['177', '387', '410', '249', '248', '419', '261']
['459', '455', '377', '541', '121', '59', '653']
['57', '545', '79', '216', '695', '185', '283']
['648', '89', '355', '556', '310', '580', '559']
['4', '380', '699', '103', '144', '83', '54']
['300', '192', '311', '466', '299', '143', '198']
['218', '454', '683', '137', '519', '31', '651']
['381', '334', '128', '566', '555', '309', '71']
['328', '501', '431', '633', '594', '233', '146']
['478', '548', '471', '365', '679', '672', '359']
['513', '432', '147', '190', '574', '139', '88']
['549', '631', '614', '407', '591', '90', '220']
['81', '482', '613', '243', '515', '649', '105']
['51', '412', '55', '61', '74', '85', '353']
['652', '100', '522', '64', '298', '445', '589']
['460', '579', '502', '301', '92', '598', '330']
['325', '590', '656', '170', '225', '156', '681']
['43', '262', '333', '530', '444', '173', '422']
['340', '386', '621', '292', '660', '40', '32']
['483', '493', '421', '650', '370', '662', '214']
['382', '670', '229', '252', '440', '616', '618']
['304', '284', '423', '148', '126', '15', '396']
['65', '458', '279', '288', '258', '221', '367']
['167', '163', '392', '646', '567', '34', '189']
['27', '30', '685', '290', '480', '289', '116']
['256', '91', '507', '324', '119', '201', '583']
['297', '253', '499', '364', '638', '172', '393']
['505', '2', '470', '306', '208', '498', '414']
['453', '178', '259', '24', '337', '643', '322']
['112', '535', '37', '109', '12', '273', '93']
['153', '468', '664', '395', '623', '508', '601']
['195', '390', '619', '394', '663', '362', '661']
['433', '307', '22', '3', '312', '521', '287']
['553', '205', '467', '106', '321', '611', '627']
['551', '240', '669', '406', '60', '151', '132']
['610', '231', '634', '352', '203', '133', '494']
['331', '228', '76', '319', '8', '209', '342']
['420', '609', '474', '278', '464', '267', '111']
['67', '684', '409', '238', '369', '87', '457']
['538', '405', '69', '641', '131', '1', '428']
['212', '141', '372', '557', '696', '25', '166']
['402', '135', '78', '257', '397', '184', '235']
['38', '492', '489', '194', '7', '647', '104']
['425', '285', '654', '291', '527', '226', '265']
['411', '363', '655', '117', '357', '427', '200']
['552', '110', '451', '603', '640', '213', '174']
['14', '584', '164', '52', '571', '384', '688']
['689', '693', '632', '602', '540', '50', '318']
['6', '510', '626', '86', '293', '296', '565']
['578', '635', '516', '620', '266', '217', '361']
['624', '645', '16', '550', '19', '197', '496']
['260', '371', '439', '102', '400', '469', '268']
['48', '415', '241', '465', '350', '224', '379']
['644', '272', '523', '682', '677', '29', '562']
['366', '277', '263', '101', '180', '219', '204']
['94', '517', '323', '99', '335', '416', '41']
['68', '28', '592', '138', '114', '572', '573']
['391', '442', '485', '680', '385', '232', '581']
['17', '446', '435', '687', '539', '375', '118']
['536', '327', '332', '21', '525', '338', '199']
['486', '575', '383', '582', '176', '62', '73']
['463', '576', '5', '316', '529', '586', '490']
