['133', '445', '32', '410', '35', '481', '242', '230', '329', '322']
['234', '295', '456', '227', '385', '68', '300', '56', '183', '477']
['167', '273', '125', '128', '184', '28', '392', '159', '306', '261']
['380', '476', '468', '229', '391', '371', '84', '462', '399', '416']
['372', '93', '407', '179', '311', '330', '432', '496', '478', '465']
['387', '59', '488', '237', '37', '440', '492', '467', '283', '469']
['418', '483', '117', '203', '354', '86', '425', '317', '475', '42']
['132', '491', '138', '396', '25', '326', '22', '72', '140', '328']
['346', '228', '147', '301', '101', '412', '307', '23', '308', '472']
['312', '389', '57', '289', '336', '190', '244', '241', '90', '148']
['414', '165', '238', '18', '433', '187', '448', '253', '189', '75']
['349', '251', '141', '318', '247', '278', '161', '222', '459', '451']
['110', '30', '79', '51', '48', '276', '55', '457', '177', '217']
['63', '473', '83', '208', '366', '243', '12', '157', '202', '108']
['458', '320', '321', '207', '299', '319', '33', '213', '471', '62']
['495', '347', '64', '154', '205', '343', '150', '225', '164', '124']
['397', '270', '338', '53', '413', '443', '7', '282', '144', '115']
['252', '441', '484', '146', '388', '408', '364', '100', '96', '368']
['116', '104', '221', '395', '275', '427', '142', '386', '2', '130']
['384', '447', '277', '367', '362', '485', '356', '463', '112', '434']
['91', '38', '20', '487', '103', '490', '166', '274', '134', '211']
['182', '370', '195', '80', '191', '406', '303', '171', '271', '381']
['219', '245', '268', '287', '236', '449', '168', '223', '5', '415']
['102', '66', '455', '163', '403', '180', '359', '480', '47', '218']
['94', '78', '376', '176', '172', '85', '198', '46', '493', '281']
['460', '293', '129', '429', '279', '344', '257', '409', '428', '13']
['379', '16', '233', '45', '4', '152', '417', '135', '267', '200']
['284', '174', '214', '421', '285', '316', '70', '497', '353', '10']
['194', '162', '302', '153', '450', '31', '139', '54', '423', '426']
['411', '149', '375', '437', '246', '15', '67', '250', '92', '58']
['452', '258', '430', '280', '123', '192', '21', '74', '17', '327']
['265', '363', '339', '158', '97', '105', '196', '398', '422', '199']
['185', '106', '120', '498', '40', '89', '348', '155', '442', '50']
['269', '210', '365', '332', '11', '382', '393', '310', '405', '337']
['294', '43', '461', '119', '400', '470', '52', '41', '156', '315']
['81', '121', '206', '378', '60', '204', '383', '264', '109', '482']
['286', '77', '113', '114', '197', '401', '351', '340', '342', '95']
['111', '438', '254', '188', '446', '288', '439', '193', '49', '76']
['325', '186', '358', '255', '419', '369', '0', '341', '335', '297']
['98', '436', '350', '464', '1', '272', '160', '298', '36', '324']
['61', '173', '34', '175', '235', '232', '361', '345', '309', '323']
['305', '24', '263', '224', '494', '226', '352', '118', '474', '357']
['122', '88', '390', '136', '69', '14', '292', '9', '220', '145']
['39', '240', '249', '291', '296', '424', '394', '82', '466', '239']
['215', '143', '266', '313', '304', '334', '169', '262', '29', '87']
['259', '377', '290', '27', '420', '99', '170', '404', '314', '479']
['444', '360', '260', '431', '453', '65', '499', '373', '126', '44']
['178', '231', '489', '435', '127', '151', '355', '209', '6', '181']
['26', '333', '256', '71', '19', '201', '73', '331', '3', '212']
['454', '248', '137', '8', '131', '107', '402', '216', '486', '374']
