['247', '309', '235', '94', '319', '240', '399', '183', '51', '157', '396', '189', '75', '46', '334', '17', '362', '333', '199', '301']
['272', '63', '141', '345', '91', '214', '251', '273', '53', '102', '42', '357', '267', '373', '228', '99', '25', '158', '172', '311']
['293', '208', '114', '106', '367', '188', '89', '118', '77', '92', '136', '393', '389', '29', '185', '186', '135', '360', '304', '268']
['79', '73', '116', '149', '133', '3', '350', '221', '97', '84', '207', '216', '356', '352', '20', '358', '264', '231', '5', '139']
['283', '286', '38', '68', '110', '369', '337', '397', '182', '243', '88', '322', '368', '87', '220', '41', '375', '390', '234', '56']
['384', '90', '155', '237', '100', '78', '287', '255', '259', '341', '142', '163', '159', '119', '48', '222', '317', '285', '24', '164']
['121', '31', '6', '206', '127', '2', '246', '372', '363', '190', '191', '347', '69', '377', '348', '196', '338', '131', '18', '125']
['371', '66', '332', '232', '218', '252', '250', '27', '156', '307', '312', '60', '211', '308', '379', '169', '328', '104', '137', '175']
['239', '64', '21', '223', '65', '150', '61', '306', '80', '47', '85', '276', '165', '39', '388', '96', '324', '12', '174', '310']
['294', '113', '108', '140', '112', '82', '353', '144', '326', '9', '217', '181', '0', '67', '359', '219', '62', '284', '361', '288']
['355', '32', '254', '173', '313', '72', '274', '330', '354', '152', '23', '167', '346', '22', '83', '203', '126', '376', '315', '212']
['193', '290', '93', '398', '302', '258', '269', '197', '98', '109', '44', '316', '178', '13', '295', '147', '380', '242', '336', '57']
['1', '54', '105', '392', '339', '229', '280', '36', '278', '327', '370', '166', '138', '265', '383', '111', '179', '28', '59', '11']
['120', '143', '386', '385', '300', '107', '170', '275', '70', '299', '204', '146', '124', '200', '364', '344', '296', '210', '123', '297']
['335', '253', '95', '366', '249', '305', '33', '19', '271', '154', '321', '86', '162', '71', '134', '351', '215', '391', '128', '115']
['171', '7', '50', '260', '261', '160', '168', '15', '329', '40', '248', '257', '151', '244', '34', '198', '10', '331', '342', '236']
['343', '8', '76', '45', '374', '58', '55', '314', '349', '30', '153', '270', '289', '303', '245', '225', '382', '291', '230', '201']
['320', '226', '4', '394', '202', '148', '180', '325', '192', '298', '387', '281', '161', '263', '184', '103', '117', '14', '132', '37']
['74', '213', '241', '177', '205', '130', '176', '145', '365', '35', '52', '81', '227', '129', '378', '340', '292', '323', '49', '318']
['277', '266', '233', '195', '381', '122', '395', '238', '282', '209', '256', '187', '43', '101', '16', '224', '194', '279', '262', '26']
