['360', '39', '98', '461', '146', '49', '272']
['117', '12', '29', '298', '341', '385', '346']
['162', '1', '15', '443', '220', '36', '408']
['366', '367', '368', '369', '370', '372', '373']
['82', '211', '344', '151', '54', '377', '394']
['217', '3', '11', '431', '284', '149', '52']
['275', '8', '110', '120', '305', '361', '322']
['266', '7', '47', '141', '44', '409', '437']
['95', '4', '18', '240', '319', '426', '190']
['321', '19', '105', '238', '93', '261', '276']
['297', '99', '251', '74', '318', '53', '458']
['202', '2', '73', '430', '274', '55', '20']
['383', '242', '418', '455', '204', '75', '410']
['154', '0', '57', '262', '181', '446', '384']
['10', '27', '33', '62', '76', '113', '114']
['231', '40', '103', '248', '295', '362', '363']
['28', '71', '115', '168', '288', '338', '339']
['80', '23', '209', '329', '302', '77', '326']
['432', '303', '389', '97', '38', '358', '471']
['139', '42', '308', '78', '259', '203', '121']
['200', '43', '376', '393', '428', '442', '479']
['176', '63', '271', '421', '386', '199', '307']
['327', '22', '111', '166', '26', '207', '218']
['342', '30', '81', '371', '267', '135', '351']
['229', '92', '413', '183', '70', '477', '388']
['253', '5', '100', '155', '359', '335', '170']
['122', '14', '41', '311', '365', '32', '83']
['457', '90', '402', '280', '145', '48', '429']
['337', '215', '233', '403', '278', '482', '245']
['87', '224', '273', '447', '193', '345', '102']
['463', '404', '281', '112', '422', '216', '423']
['34', '13', '85', '119', '198', '300', '350']
['50', '147', '312', '164', '412', '449', '304']
['459', '237', '375', '438', '134', '222', '324']
['124', '160', '488', '143', '46', '232', '244']
['239', '94', '257', '104', '474', '221', '398']
['374', '387', '414', '453', '475', '476', '286']
['195', '31', '264', '270', '174', '478', '419']
['450', '399', '323', '107', '336', '171', '178']
['309', '445', '127', '382', '417', '206', '133']
['225', '88', '279', '196', '356', '37', '348']
['169', '258', '456', '320', '464', '415', '173']
['379', '130', '400', '405', '460', '485', '486']
['241', '96', '214', '79', '208', '315', '424']
['313', '65', '381', '390', '349', '184', '140']
['66', '179', '328', '433', '290', '260', '334']
['380', '355', '401', '407', '444', '466', '487']
['317', '17', '89', '347', '108', '411', '192']
['138', '364', '250', '60', '128', '343', '252']
['51', '16', '148', '314', '470', '116', '293']
['25', '68', '101', '165', '246', '332', '333']
['263', '6', '106', '283', '136', '310', '159']
['285', '161', '153', '56', '468', '397', '451']
['157', '439', '158', '235', '294', '480', '123']
['230', '9', '268', '354', '91', '191', '144']
['378', '395', '406', '465', '483', '484', '454']
['325', '21', '109', '142', '427', '219', '256']
['59', '172', '223', '440', '435', '452', '201']
['131', '64', '177', '296', '194', '254', '129']
['462', '357', '396', '249', '291', '448', '277']
['467', '132', '391', '292', '167', '247', '212']
['425', '61', '213', '84', '469', '125', '269']
['301', '353', '205', '473', '481', '289']
['72', '185', '340', '287', '188', '441', '255']
['299', '118', '331', '186', '226', '163', '436']
['67', '24', '180', '330', '234', '306', '187']
['182', '69', '189', '282', '150', '227', '126']
['472', '58', '392', '243', '416', '137', '210']
['156', '197', '434', '175', '316', '265', '228']
['352', '35', '86', '236', '45', '420', '152']
