['367', '237', '238', '233', '229', '235', '384', '272', '239', '122', '258', '215', '15', '203', '84', '371', '230', '228', '214', '97']
['325', '170', '220', '57', '190', '183', '144', '99', '366', '64', '218', '185', '217', '177', '210', '137', '297', '264', '287', '189']
['323', '361', '335', '47', '44', '330', '30', '31', '58', '365', '359', '54', '8', '63', '29', '263', '337', '396', '39', '385']
['348', '86', '176', '88', '299', '98', '167', '81', '100', '317', '152', '179', '181', '6', '380', '259', '162', '90', '395', '127']
['377', '379', '360', '391', '3', '0', '289', '271', '277', '1', '345', '291', '280', '389', '2', '338', '274', '376', '353', '307']
['309', '138', '279', '55', '79', '129', '387', '126', '128', '392', '243', '125', '132', '351', '120', '211', '123', '141', '281', '294']
['270', '375', '32', '22', '386', '20', '275', '328', '288', '33', '374', '268', '27', '341', '35', '23', '314', '18', '21', '356']
['368', '266', '52', '240', '320', '74', '53', '67', '273', '72', '75', '318', '286', '383', '62', '26', '25', '331', '59', '285']
['172', '201', '311', '212', '278', '164', '169', '136', '208', '108', '249', '226', '175', '346', '247', '160', '180', '234', '85', '161']
['76', '305', '295', '163', '143', '151', '159', '292', '166', '165', '38', '349', '61', '135', '174', '336', '312', '89', '139', '142']
['262', '378', '28', '399', '260', '231', '246', '255', '373', '4', '245', '254', '42', '12', '257', '251', '24', '256', '253', '19']
['154', '302', '131', '301', '148', '101', '155', '140', '115', '16', '369', '355', '193', '191', '327', '194', '187', '397', '168', '45']
['133', '304', '343', '269', '121', '236', '196', '113', '223', '244', '248', '119', '150', '293', '114', '178', '104', '147', '216', '171']
['232', '107', '370', '96', '103', '250', '334', '221', '73', '106', '222', '300', '242', '224', '344', '94', '77', '80', '209', '83']
['105', '390', '340', '102', '308', '110', '69', '56', '362', '333', '111', '118', '283', '112', '78', '95', '82', '332', '117', '296']
['34', '354', '93', '363', '319', '342', '394', '276', '71', '50', '46', '252', '87', '92', '68', '310', '91', '306', '70', '49']
['199', '358', '206', '130', '195', '364', '186', '198', '381', '182', '146', '261', '350', '197', '352', '188', '145', '205', '48', '173']
['157', '326', '124', '241', '153', '158', '282', '66', '43', '265', '109', '51', '156', '37', '393', '315', '149', '303', '134', '116']
['321', '202', '192', '200', '40', '225', '41', '316', '65', '398', '213', '219', '184', '207', '36', '204', '60', '339', '227', '329']
['347', '5', '388', '298', '11', '284', '14', '267', '357', '372', '290', '9', '13', '313', '17', '322', '7', '382', '10', '324']
