['363', '49', '9', '317', '448']
['184', '302', '32', '474', '37']
['249', '282', '141', '315', '218']
['280', '441', '124', '482', '488']
['29', '335', '190', '489', '81']
['305', '62', '115', '186', '161']
['42', '96', '102', '59', '346']
['283', '319', '123', '375', '44']
['183', '182', '223', '148', '12']
['188', '396', '277', '95', '80']
['237', '318', '377', '292', '362']
['326', '424', '7', '108', '107']
['470', '230', '421', '134', '394']
['398', '271', '364', '251', '366']
['458', '400', '337', '232', '286']
['417', '457', '490', '460', '35']
['22', '478', '404', '383', '466']
['166', '391', '445', '112', '395']
['43', '418', '194', '169', '98']
['119', '19', '388', '464', '381']
['4', '47', '469', '384', '10']
['295', '136', '170', '189', '211']
['294', '401', '392', '426', '210']
['340', '195', '256', '70', '110']
['233', '483', '387', '480', '405']
['397', '155', '291', '284', '380']
['306', '349', '333', '253', '403']
['245', '234', '492', '67', '55']
['57', '393', '453', '255', '243']
['413', '116', '325', '179', '307']
['331', '204', '386', '437', '241']
['260', '293', '476', '444', '471']
['378', '84', '449', '279', '135']
['231', '290', '185', '139', '473']
['154', '99', '200', '205', '310']
['415', '94', '40', '316', '411']
['402', '332', '87', '454', '343']
['498', '145', '125', '477', '486']
['416', '27', '52', '269', '276']
['345', '178', '301', '344', '487']
['322', '278', '338', '430', '446']
['77', '419', '90', '298', '180']
['485', '452', '263', '100', '289']
['144', '120', '465', '168', '435']
['219', '79', '158', '97', '311']
['374', '323', '427', '433', '420']
['467', '236', '41', '28', '160']
['217', '442', '399', '220', '175']
['438', '357', '198', '111', '8']
['353', '434', '275', '314', '176']
['439', '447', '5', '88', '227']
['86', '429', '21', '208', '207']
['202', '63', '153', '106', '425']
['206', '461', '74', '16', '146']
['309', '147', '229', '494', '414']
['17', '25', '299', '39', '6']
['308', '133', '239', '355', '104']
['432', '297', '472', '367', '272']
['172', '382', '78', '481', '459']
['85', '109', '412', '244', '92']
['165', '436', '214', '20', '324']
['113', '287', '66', '372', '131']
['82', '499', '18', '248', '252']
['496', '242', '258', '197', '45']
['350', '46', '11', '31', '215']
['270', '373', '463', '268', '475']
['15', '212', '162', '216', '33']
['274', '75', '34', '187', '300']
['359', '105', '50', '132', '303']
['296', '114', '3', '137', '129']
['456', '428', '495', '368', '423']
['410', '142', '13', '327', '468']
['352', '422', '431', '103', '64']
['371', '51', '138', '228', '240']
['247', '389', '226', '174', '65']
['390', '23', '479', '163', '224']
['89', '199', '48', '491', '225']
['60', '0', '246', '267', '264']
['167', '101', '329', '36', '379']
['339', '121', '150', '53', '358']
['354', '128', '118', '262', '140']
['56', '24', '38', '26', '30']
['406', '334', '369', '265', '122']
['193', '342', '235', '71', '203']
['261', '273', '328', '126', '177']
['222', '336', '285', '257', '69']
['61', '462', '493', '356', '196']
['83', '407', '127', '173', '320']
['91', '281', '312', '2', '68']
['156', '157', '259', '213', '313']
['288', '117', '254', '321', '1']
['181', '54', '347', '238', '497']
['58', '440', '376', '14', '149']
['73', '365', '408', '451', '348']
['304', '351', '192', '361', '221']
['385', '360', '76', '159', '191']
['130', '72', '93', '171', '143']
['484', '151', '164', '266', '152']
['201', '450', '409', '455', '330']
['250', '443', '341', '209', '370']
