['184', '152', '40', '308', '21', '133', '370', '297', '364', '183', '22', '95', '327', '99', '381', '163', '145', '31', '19', '268', '281', '26', '247', '221', '77']
['232', '182', '10', '235', '71', '174', '349', '275', '292', '70', '29', '225', '188', '66', '296', '277', '170', '395', '215', '197', '201', '286', '241', '147', '306']
['65', '276', '179', '366', '354', '7', '220', '234', '289', '84', '28', '50', '314', '387', '340', '186', '53', '368', '58', '15', '309', '265', '149', '371', '177']
['74', '193', '331', '326', '198', '267', '25', '212', '393', '218', '202', '91', '233', '263', '76', '161', '189', '280', '363', '279', '345', '138', '316', '399', '3']
['330', '63', '56', '285', '119', '146', '254', '80', '320', '107', '33', '4', '132', '96', '204', '373', '167', '222', '355', '86', '124', '362', '367', '270', '338']
['295', '172', '273', '357', '294', '350', '302', '164', '315', '351', '377', '343', '123', '181', '389', '36', '195', '236', '157', '32', '359', '392', '249', '274', '79']
['178', '98', '92', '134', '75', '237', '261', '323', '242', '87', '51', '216', '48', '100', '318', '284', '383', '391', '55', '85', '244', '211', '375', '245', '352']
['325', '303', '223', '140', '226', '72', '176', '16', '258', '246', '324', '14', '224', '128', '83', '333', '356', '384', '120', '376', '278', '109', '166', '361', '262']
['23', '386', '335', '385', '171', '374', '88', '153', '255', '60', '148', '57', '11', '135', '5', '382', '105', '13', '397', '97', '346', '283', '299', '12', '252']
['168', '151', '17', '126', '251', '159', '203', '229', '217', '67', '8', '322', '78', '180', '191', '310', '102', '269', '230', '347', '136', '47', '143', '337', '260']
['82', '6', '173', '118', '353', '231', '213', '214', '344', '228', '290', '44', '196', '291', '113', '64', '73', '89', '334', '253', '139', '332', '2', '264', '348']
['117', '339', '259', '257', '209', '300', '0', '293', '111', '43', '365', '380', '130', '200', '398', '127', '206', '358', '18', '45', '116', '207', '112', '30', '154']
['156', '240', '311', '287', '194', '158', '20', '396', '122', '388', '271', '9', '394', '288', '243', '160', '52', '34', '328', '239', '104', '121', '101', '208', '238']
['319', '35', '185', '129', '144', '103', '61', '369', '81', '114', '266', '317', '131', '155', '137', '248', '378', '307', '150', '379', '250', '390', '192', '27', '42']
['342', '142', '341', '106', '94', '69', '205', '321', '313', '304', '199', '38', '49', '169', '372', '93', '272', '41', '329', '175', '108', '210', '360', '162', '301']
['141', '187', '256', '59', '62', '39', '54', '312', '90', '165', '227', '305', '1', '37', '24', '298', '46', '110', '190', '219', '336', '125', '115', '68', '282']
