['376', '65', '41', '339', '269']
['433', '111', '419', '329', '129']
['48', '34', '23', '498', '200']
['73', '319', '444', '261', '463']
['193', '267', '143', '325', '128']
['32', '50', '53', '402', '279']
['91', '302', '316', '394', '229']
['247', '391', '399', '292', '210']
['346', '333', '6', '336', '366']
['189', '484', '291', '82', '86']
['372', '263', '216', '330', '256']
['496', '326', '31', '103', '260']
['223', '39', '486', '66', '157']
['485', '127', '90', '28', '286']
['118', '328', '188', '114', '377']
['46', '303', '493', '315', '27']
['51', '257', '218', '146', '7']
['196', '13', '63', '74', '92']
['137', '309', '171', '375', '334']
['340', '476', '471', '54', '426']
['342', '460', '122', '169', '349']
['343', '479', '354', '192', '393']
['139', '104', '411', '386', '106']
['353', '241', '49', '197', '363']
['126', '473', '475', '364', '168']
['380', '140', '357', '133', '40']
['477', '231', '290', '259', '170']
['26', '75', '85', '213', '102']
['154', '249', '105', '119', '3']
['436', '452', '465', '428', '494']
['221', '312', '398', '142', '167']
['15', '390', '408', '5', '235']
['124', '374', '20', '490', '37']
['397', '250', '255', '304', '387']
['305', '371', '180', '313', '265']
['45', '29', '347', '18', '151']
['136', '370', '447', '236', '422']
['420', '242', '240', '138', '440']
['93', '100', '288', '337', '488']
['59', '350', '289', '314', '153']
['445', '365', '405', '324', '266']
['113', '205', '16', '149', '64']
['172', '359', '388', '220', '481']
['88', '276', '254', '244', '348']
['423', '341', '165', '483', '358']
['280', '55', '271', '184', '466']
['209', '173', '0', '492', '418']
['383', '381', '295', '323', '84']
['22', '489', '30', '214', '491']
['125', '451', '120', '499', '335']
['307', '345', '406', '403', '178']
['211', '4', '24', '389', '194']
['322', '212', '79', '362', '495']
['141', '77', '467', '228', '296']
['368', '382', '438', '412', '67']
['442', '414', '430', '71', '94']
['198', '87', '306', '285', '459']
['158', '183', '278', '159', '9']
['361', '298', '19', '116', '252']
['446', '47', '36', '385', '145']
['219', '238', '89', '472', '181']
['199', '246', '453', '230', '301']
['409', '344', '204', '461', '207']
['35', '384', '233', '478', '112']
['147', '161', '206', '320', '222']
['101', '135', '227', '2', '155']
['72', '131', '150', '448', '413']
['190', '401', '293', '457', '356']
['248', '427', '281', '44', '355']
['57', '487', '245', '226', '468']
['352', '95', '480', '234', '251']
['287', '232', '163', '174', '117']
['311', '68', '156', '425', '78']
['166', '284', '432', '224', '162']
['417', '455', '1', '424', '76']
['60', '164', '202', '332', '11']
['208', '10', '99', '217', '121']
['338', '351', '83', '176', '191']
['404', '464', '421', '379', '148']
['270', '107', '300', '462', '264']
['130', '415', '182', '215', '392']
['331', '429', '144', '62', '239']
['454', '273', '378', '282', '33']
['434', '395', '469', '134', '8']
['274', '317', '61', '441', '449']
['81', '12', '458', '450', '439']
['179', '308', '283', '175', '396']
['96', '42', '203', '14', '80']
['253', '321', '262', '431', '69']
['482', '160', '416', '470', '294']
['97', '21', '43', '17', '243']
['407', '25', '435', '474', '369']
['56', '456', '373', '201', '410']
['360', '108', '297', '38', '443']
['187', '98', '237', '109', '268']
['497', '437', '52', '132', '123']
['327', '400', '58', '177', '185']
['299', '275', '110', '70', '225']
['310', '258', '115', '318', '152']
['272', '277', '367', '186', '195']
