['273', '198', '406', '477', '4', '150', '275', '393', '305', '203', '5', '253', '57', '438', '339', '218', '489', '387', '96', '158']
['202', '432', '491', '33', '287', '312', '248', '282', '377', '223', '304', '264', '85', '52', '99', '365', '3', '32', '155', '206']
['267', '482', '216', '196', '285', '116', '317', '186', '45', '27', '427', '1', '383', '475', '164', '281', '207', '111', '301', '298']
['296', '232', '373', '133', '212', '397', '148', '286', '171', '421', '417', '42', '136', '139', '431', '361', '138', '49', '308', '162']
['430', '474', '246', '127', '124', '204', '68', '102', '129', '36', '156', '464', '446', '197', '362', '84', '46', '499', '79', '260']
['159', '390', '370', '456', '310', '160', '31', '215', '88', '453', '211', '193', '91', '429', '73', '414', '288', '104', '311', '398']
['495', '349', '479', '242', '416', '346', '454', '279', '172', '59', '367', '92', '395', '245', '327', '239', '425', '492', '55', '98']
['26', '488', '161', '333', '263', '292', '359', '238', '66', '190', '219', '326', '375', '493', '494', '89', '329', '144', '70', '400']
['466', '364', '457', '146', '294', '441', '372', '153', '428', '357', '208', '151', '297', '465', '76', '452', '236', '382', '320', '224']
['240', '221', '280', '44', '274', '418', '462', '347', '132', '445', '498', '2', '90', '369', '93', '467', '22', '249', '455', '195']
['351', '122', '468', '231', '77', '303', '131', '391', '496', '371', '324', '43', '255', '56', '440', '24', '230', '86', '152', '340']
['341', '408', '411', '235', '213', '53', '266', '115', '314', '337', '176', '229', '302', '265', '121', '109', '140', '336', '284', '394']
['194', '177', '97', '113', '14', '237', '100', '350', '484', '163', '413', '147', '9', '420', '262', '306', '6', '277', '335', '460']
['217', '15', '247', '461', '125', '486', '426', '145', '105', '381', '366', '58', '134', '75', '343', '385', '95', '47', '490', '291']
['424', '173', '101', '189', '61', '300', '410', '463', '402', '106', '199', '188', '209', '439', '330', '200', '64', '220', '78', '233']
['137', '278', '120', '114', '444', '379', '473', '119', '487', '257', '11', '447', '62', '35', '268', '295', '299', '222', '154', '485']
['448', '352', '422', '25', '87', '354', '16', '48', '476', '130', '389', '293', '65', '407', '322', '380', '388', '250', '182', '225']
['415', '378', '358', '283', '201', '254', '436', '451', '404', '184', '82', '368', '83', '227', '376', '396', '344', '174', '342', '360']
['409', '226', '187', '259', '67', '117', '443', '356', '321', '442', '472', '384', '449', '74', '39', '166', '325', '28', '8', '103']
['374', '18', '269', '348', '412', '20', '81', '80', '338', '313', '470', '210', '30', '205', '318', '149', '276', '403', '192', '169']
['270', '251', '135', '118', '315', '256', '94', '34', '180', '72', '175', '165', '38', '168', '23', '29', '355', '334', '19', '7']
['112', '244', '450', '63', '345', '481', '434', '497', '126', '309', '272', '234', '243', '316', '50', '41', '51', '241', '185', '483']
['469', '228', '261', '392', '353', '480', '167', '331', '143', '401', '69', '108', '12', '478', '60', '258', '0', '170', '107', '328']
['423', '271', '17', '181', '332', '399', '21', '123', '307', '141', '319', '323', '54', '290', '10', '386', '214', '405', '179', '142']
['128', '437', '363', '71', '183', '471', '37', '252', '419', '191', '289', '459', '458', '435', '13', '178', '433', '40', '157', '110']
