['770', '425', '875', '804', '605', '323', '69', '199', '839', '268', '230', '354', '560', '540', '748', '461', '256', '961', '8', '567', '210', '535', '591', '608', '132']
['879', '577', '731', '148', '661', '100', '708', '462', '227', '519', '563', '588', '797', '861', '4', '169', '157', '872', '569', '520', '36', '723', '993', '674', '942']
['874', '509', '50', '232', '231', '495', '141', '223', '697', '531', '514', '396', '383', '610', '963', '844', '564', '650', '143', '142', '407', '743', '324', '332', '279']
['533', '427', '434', '623', '512', '87', '898', '585', '653', '119', '982', '225', '888', '517', '72', '246', '656', '192', '413', '502', '672', '179', '838', '685', '671']
['7', '358', '258', '166', '626', '729', '795', '793', '733', '828', '430', '561', '511', '136', '822', '167', '399', '762', '26', '107', '863', '655', '198', '916', '903']
['440', '932', '676', '599', '30', '862', '0', '895', '314', '391', '68', '488', '699', '924', '602', '827', '778', '487', '510', '501', '330', '952', '39', '587', '817']
['913', '294', '483', '882', '218', '973', '409', '479', '858', '52', '915', '176', '660', '902', '830', '165', '117', '832', '776', '907', '233', '276', '83', '730', '31']
['322', '633', '469', '606', '265', '362', '499', '281', '959', '204', '644', '412', '513', '738', '415', '906', '570', '930', '353', '616', '400', '287', '978', '97', '967']
['140', '129', '41', '211', '298', '503', '558', '173', '45', '836', '452', '821', '713', '201', '269', '802', '941', '12', '220', '813', '24', '170', '864', '357', '615']
['522', '532', '921', '403', '11', '18', '725', '344', '691', '480', '224', '614', '340', '948', '27', '175', '464', '876', '104', '88', '242', '112', '498', '525', '810']
['695', '534', '421', '621', '460', '938', '368', '718', '694', '755', '309', '524', '80', '60', '65', '443', '135', '716', '451', '866', '825', '16', '138', '183', '250']
['326', '528', '970', '675', '600', '35', '536', '539', '280', '191', '646', '341', '414', '134', '934', '668', '459', '76', '477', '346', '873', '951', '378', '393', '174']
['286', '584', '316', '120', '372', '359', '760', '439', '55', '603', '243', '999', '507', '437', '234', '311', '987', '435', '568', '782', '998', '925', '395', '419', '885']
['965', '171', '911', '506', '957', '765', '489', '433', '493', '592', '890', '768', '647', '677', '188', '929', '800', '78', '404', '956', '975', '703', '478', '159', '382']
['715', '205', '63', '457', '99', '739', '110', '374', '855', '612', '458', '692', '259', '44', '683', '979', '397', '365', '664', '53', '59', '355', '548', '339', '950']
['736', '880', '77', '196', '693', '717', '13', '811', '945', '896', '649', '390', '156', '161', '277', '939', '667', '417', '447', '654', '831', '547', '308', '356', '917']
['637', '304', '732', '796', '805', '441', '89', '638', '32', '630', '799', '735', '780', '538', '595', '182', '92', '798', '351', '446', '740', '237', '954', '465', '749']
['402', '848', '352', '47', '878', '994', '779', '261', '877', '275', '428', '632', '494', '387', '721', '865', '775', '202', '160', '370', '442', '449', '504', '508', '206']
['791', '432', '920', '82', '754', '262', '57', '829', '108', '758', '491', '14', '582', '886', '724', '746', '663', '454', '989', '565', '98', '228', '288', '184', '620']
['819', '884', '335', '221', '652', '216', '278', '562', '995', '607', '168', '238', '601', '690', '190', '240', '919', '94', '125', '312', '698', '820', '747', '790', '555']
['423', '267', '436', '546', '195', '761', '947', '252', '235', '122', '123', '320', '215', '526', '336', '49', '515', '91', '737', '282', '124', '466', '17', '333', '21']
