['102', '1', '681', '283', '300', '418', '180', '106', '861', '75', '349', '995', '477', '260', '883', '715', '376', '139', '286', '243']
['207', '502', '499', '870', '688', '507', '467', '404', '702', '123', '200', '314', '812', '52', '302', '864', '141', '306', '940', '224']
['269', '558', '866', '431', '489', '871', '741', '817', '678', '878', '453', '559', '100', '294', '970', '985', '372', '572', '110', '495']
['351', '764', '565', '527', '664', '599', '988', '30', '54', '778', '707', '107', '484', '80', '586', '358', '401', '288', '367', '394']
['636', '48', '719', '762', '25', '696', '97', '146', '596', '708', '637', '385', '789', '142', '542', '711', '444', '93', '29', '808']
['603', '942', '639', '927', '229', '743', '706', '858', '479', '324', '59', '627', '14', '310', '725', '331', '930', '620', '964', '821']
['788', '19', '50', '699', '535', '976', '825', '566', '892', '918', '648', '532', '386', '53', '181', '225', '714', '400', '828', '99']
['145', '396', '823', '471', '791', '837', '109', '411', '794', '827', '776', '201', '829', '368', '41', '250', '473', '190', '810', '898']
['251', '692', '842', '405', '767', '40', '720', '273', '960', '638', '504', '423', '644', '569', '375', '958', '458', '564', '299', '359']
['329', '87', '721', '739', '755', '134', '822', '488', '311', '601', '291', '319', '774', '839', '732', '44', '275', '903', '694', '204']
['733', '366', '745', '37', '132', '804', '32', '255', '549', '83', '749', '452', '724', '998', '885', '579', '26', '185', '962', '138']
['904', '17', '435', '498', '433', '58', '332', '264', '103', '956', '383', '890', '60', '934', '335', '183', '312', '62', '167', '66']
['963', '355', '869', '28', '373', '475', '301', '605', '524', '873', '519', '337', '588', '8', '13', '966', '722', '643', '317', '449']
['439', '584', '159', '114', '239', '969', '595', '671', '583', '911', '712', '598', '266', '846', '379', '856', '847', '772', '363', '446']
['456', '663', '816', '402', '855', '716', '437', '493', '421', '795', '553', '257', '820', '392', '932', '672', '101', '683', '957', '996']
['482', '220', '695', '89', '979', '556', '388', '634', '374', '679', '258', '34', '575', '653', '965', '594', '338', '178', '6', '573']
['81', '43', '67', '326', '414', '805', '614', '51', '757', '305', '666', '390', '947', '289', '587', '242', '945', '557', '460', '916']
['406', '746', '631', '164', '347', '154', '115', '425', '378', '232', '175', '990', '213', '780', '21', '84', '38', '188', '867', '547']
['731', '480', '95', '591', '604', '391', '981', '450', '61', '819', '652', '991', '860', '371', '69', '845', '202', '912', '948', '496']
['94', '735', '333', '514', '153', '693', '397', '246', '128', '561', '835', '76', '15', '928', '534', '676', '120', '210', '205', '236']
['787', '992', '874', '330', '608', '12', '290', '946', '770', '292', '309', '253', '726', '642', '560', '797', '354', '403', '430', '513']
['765', '882', '478', '422', '187', '987', '454', '334', '10', '577', '71', '613', '982', '633', '901', '161', '799', '723', '921', '800']
['760', '685', '399', '777', '531', '249', '216', '865', '133', '607', '221', '184', '143', '545', '241', '518', '427', '443', '626', '691']
['270', '655', '612', '77', '908', '550', '917', '413', '895', '841', '343', '571', '365', '212', '900', '265', '327', '886', '619', '234']
['173', '419', '412', '876', '849', '74', '520', '938', '686', '428', '259', '955', '39', '156', '528', '211', '658', '937', '237', '23']
['894', '448', '814', '665', '919', '408', '171', '429', '465', '848', '843', '381', '512', '857', '526', '801', '830', '285', '541', '490']
['357', '7', '240', '340', '483', '49', '734', '915', '3', '315', '442', '600', '994', '852', '555', '463', '914', '968', '811', '356']
['975', '361', '194', '256', '752', '924', '872', '868', '152', '238', '667', '235', '469', '282', '464', '196', '297', '863', '668', '494']
['445', '462', '647', '170', '492', '730', '122', '803', '974', '223', '227', '118', '263', '943', '833', '193', '129', '580', '438', '104']
['754', '978', '539', '844', '274', '581', '215', '281', '9', '511', '727', '881', '160', '149', '295', '834', '893', '606', '742', '174']
['747', '124', '63', '177', '424', '79', '687', '113', '740', '933', '710', '786', '130', '738', '116', '268', '203', '119', '389', '393']
['137', '815', '31', '0', '163', '910', '287', '567', '697', '384', '55', '20', '248', '796', '853', '441', '621', '470', '690', '517']
['906', '72', '476', '902', '420', '342', '680', '802', '457', '907', '753', '192', '47', '936', '341', '862', '980', '659', '151', '362']
['660', '117', '157', '813', '562', '624', '165', '807', '617', '353', '92', '806', '206', '661', '2', '308', '88', '551', '279', '278']
['701', '983', '773', '750', '537', '669', '219', '73', '350', '961', '838', '172', '769', '503', '323', '16', '434', '68', '675', '923']
['602', '276', '570', '646', '254', '952', '91', '11', '538', '231', '322', '563', '622', '155', '713', '782', '673', '197', '451', '717']
['417', '790', '410', '316', '700', '36', '407', '27', '226', '298', '971', '609', '880', '809', '929', '763', '592', '345', '303', '954']
['618', '127', '96', '728', '854', '891', '684', '218', '304', '630', '781', '784', '768', '271', '736', '491', '585', '793', '321', '896']
['840', '641', '836', '150', '759', '510', '552', '832', '522', '346', '897', '158', '466', '756', '704', '86', '632', '24', '500', '568']
['339', '5', '977', '536', '905', '744', '540', '879', '348', '284', '941', '677', '57', '35', '953', '546', '108', '516', '426', '761']
['189', '649', '501', '578', '651', '70', '214', '590', '554', '922', '140', '136', '195', '909', '850', '497', '387', '481', '487', '798']
['670', '645', '447', '228', '993', '544', '521', '758', '455', '543', '395', '121', '168', '147', '125', '999', '530', '818', '18', '262']
['509', '377', '629', '877', '989', '336', '459', '176', '792', '352', '610', '485', '82', '889', '751', '950', '533', '959', '230', '650']
['267', '949', '272', '925', '344', '307', '593', '90', '65', '42', '280', '640', '252', '951', '997', '888', '416', '548', '198', '582']
['64', '939', '875', '705', '474', '785', '859', '56', '597', '144', '508', '654', '899', '111', '472', '831', '628', '186', '576', '525']
['515', '657', '972', '674', '748', '505', '46', '824', '729', '169', '615', '325', '313', '380', '112', '98', '135', '826', '105', '78']
['851', '409', '944', '22', '162', '884', '611', '783', '85', '967', '360', '369', '529', '318', '222', '737', '931', '689', '775', '574']
['468', '973', '247', '382', '320', '45', '461', '293', '920', '935', '199', '703', '217', '244', '436', '126', '398', '209', '506', '191']
['682', '656', '166', '623', '208', '926', '779', '261', '364', '635', '131', '179', '523', '245', '148', '277', '913', '440', '33', '296']
['698', '771', '589', '233', '625', '328', '182', '662', '887', '616', '370', '486', '4', '415', '718', '709', '432', '986', '766', '984']
