['672', '659', '669', '582', '74', '480', '726', '151', '482', '155', '157', '400', '316', '950', '396', '778', '710', '864', '722', '500']
['977', '458', '976', '593', '285', '677', '261', '816', '461', '272', '251', '426', '304', '13', '313', '162', '373', '574', '154', '888']
['790', '786', '880', '358', '757', '822', '91', '427', '700', '852', '698', '874', '117', '213', '17', '146', '523', '754', '493', '418']
['184', '751', '753', '610', '195', '112', '614', '840', '809', '80', '628', '832', '566', '382', '993', '795', '276', '744', '636', '780']
['421', '854', '808', '547', '326', '850', '631', '598', '594', '247', '771', '411', '701', '673', '915', '603', '149', '170', '728', '171']
['592', '312', '973', '712', '365', '768', '235', '987', '127', '961', '890', '909', '481', '893', '317', '742', '785', '512', '718', '280']
['783', '367', '639', '337', '586', '21', '37', '568', '577', '187', '102', '647', '952', '46', '589', '970', '84', '462', '919', '320']
['330', '652', '555', '651', '682', '685', '63', '925', '113', '129', '273', '743', '845', '114', '305', '749', '119', '417', '182', '689']
['578', '986', '841', '216', '324', '452', '2', '448', '662', '67', '605', '407', '125', '98', '966', '823', '657', '234', '618', '904']
['872', '937', '430', '741', '29', '352', '412', '944', '435', '192', '526', '38', '675', '193', '354', '648', '30', '494', '766', '798']
['387', '256', '287', '495', '23', '94', '711', '595', '984', '684', '204', '378', '390', '82', '544', '406', '945', '941', '217', '281']
['831', '971', '732', '913', '536', '733', '550', '106', '824', '501', '556', '497', '666', '655', '97', '464', '389', '478', '708', '359']
['955', '813', '279', '356', '360', '649', '445', '622', '174', '543', '431', '475', '902', '118', '804', '855', '694', '924', '298', '167']
['282', '826', '150', '979', '545', '656', '368', '338', '884', '128', '759', '77', '988', '552', '851', '755', '739', '318', '502', '350']
['466', '770', '588', '353', '781', '670', '388', '148', '440', '674', '906', '138', '505', '131', '857', '616', '814', '399', '33', '625']
['201', '617', '376', '31', '521', '524', '249', '716', '25', '225', '930', '569', '178', '680', '867', '688', '943', '404', '730', '784']
['123', '863', '562', '432', '160', '62', '398', '846', '275', '186', '643', '911', '374', '0', '370', '403', '683', '870', '159', '414']
['89', '93', '491', '343', '40', '303', '6', '327', '49', '585', '483', '402', '277', '837', '325', '161', '762', '532', '189', '492']
['140', '620', '989', '509', '364', '122', '900', '283', '599', '539', '332', '227', '111', '173', '641', '172', '638', '226', '377', '704']
['379', '86', '180', '27', '12', '35', '889', '56', '181', '5', '892', '424', '166', '144', '319', '245', '290', '212', '95', '454']
['546', '777', '99', '472', '179', '802', '558', '363', '990', '409', '73', '405', '535', '752', '455', '898', '436', '587', '835', '621']
['927', '774', '437', '263', '116', '940', '820', '560', '75', '215', '443', '637', '763', '456', '876', '838', '183', '329', '137', '467']
['805', '302', '713', '861', '61', '230', '58', '348', '78', '908', '707', '661', '342', '240', '386', '848', '519', '748', '147', '834']
['54', '972', '775', '293', '479', '883', '487', '918', '803', '623', '380', '81', '561', '503', '221', '570', '260', '856', '270', '964']
['825', '190', '782', '381', '310', '197', '812', '393', '613', '978', '191', '124', '985', '914', '321', '579', '297', '508', '731', '449']
['205', '720', '434', '702', '423', '907', '145', '133', '107', '451', '828', '175', '951', '796', '679', '300', '507', '375', '665', '995']
['4', '963', '899', '468', '110', '52', '668', '810', '104', '847', '818', '583', '692', '827', '130', '415', '681', '953', '756', '690']
['229', '24', '207', '257', '769', '538', '514', '306', '836', '877', '55', '109', '286', '121', '520', '634', '153', '590', '983', '506']
['477', '960', '967', '385', '991', '288', '361', '441', '295', '267', '843', '460', '53', '210', '433', '723', '71', '132', '134', '819']
['51', '799', '917', '3', '761', '269', '871', '540', '92', '208', '938', '384', '735', '239', '936', '612', '19', '862', '258', '789']
['420', '699', '185', '308', '259', '115', '383', '243', '401', '307', '849', '868', '136', '65', '248', '873', '935', '429', '490', '66']
['255', '921', '296', '223', '760', '517', '865', '591', '232', '879', '262', '139', '22', '548', '394', '250', '246', '198', '70', '253']
['233', '765', '392', '696', '45', '608', '156', '878', '897', '776', '721', '47', '602', '214', '341', '413', '962', '252', '564', '541']
['59', '758', '85', '336', '50', '15', '90', '339', '143', '292', '920', '806', '1', '706', '438', '542', '135', '515', '264', '294']
['499', '875', '518', '725', '101', '351', '391', '773', '463', '996', '678', '120', '580', '228', '607', '886', '446', '559', '663', '473']
['912', '956', '16', '894', '419', '842', '428', '630', '8', '714', '650', '439', '469', '32', '664', '218', '557', '44', '839', '219']
['69', '717', '642', '866', '994', '202', '355', '108', '881', '975', '764', '705', '926', '946', '83', '323', '939', '470', '369', '910']
['72', '640', '531', '916', '932', '948', '974', '958', '357', '309', '653', '844', '344', '811', '498', '328', '792', '646', '459', '788']
['885', '787', '397', '96', '627', '152', '959', '934', '88', '933', '425', '793', '465', '408', '931', '903', '453', '534', '957', '736']
['949', '738', '395', '734', '727', '576', '64', '76', '942', '196', '573', '220', '42', '551', '314', '9', '163', '265', '200', '301']
['737', '366', '969', '422', '457', '999', '611', '923', '575', '299', '815', '729', '968', '797', '222', '891', '349', '563', '859', '654']
['100', '141', '237', '20', '676', '340', '410', '474', '528', '658', '529', '997', '667', '289', '830', '549', '236', '362', '471', '624']
['686', '311', '333', '947', '26', '254', '291', '965', '772', '615', '510', '697', '486', '869', '833', '14', '750', '858', '7', '142']
['695', '164', '982', '231', '522', '600', '954', '895', '496', '194', '724', '488', '28', '581', '887', '715', '11', '347', '513', '371']
['565', '416', '103', '606', '43', '331', '238', '567', '632', '199', '242', '211', '271', '266', '596', '444', '922', '177', '322', '882']
['530', '981', '633', '747', '601', '169', '740', '571', '57', '79', '527', '801', '821', '554', '901', '644', '315', '278', '998', '537']
['284', '597', '450', '334', '274', '176', '158', '224', '992', '929', '779', '671', '10', '485', '604', '18', '206', '504', '609', '767']
['39', '746', '853', '980', '709', '87', '68', '241', '745', '525', '126', '533', '626', '345', '442', '660', '791', '489', '268', '36']
['691', '335', '203', '629', '928', '372', '41', '244', '572', '484', '48', '447', '635', '807', '516', '817', '511', '687', '905', '703']
['60', '619', '719', '346', '860', '476', '168', '553', '209', '800', '896', '584', '105', '693', '794', '188', '34', '645', '829', '165']
