['248', '318', '161', '32', '240']
['779', '499', '878', '40', '477']
['251', '628', '346', '79', '862']
['512', '581', '395', '752', '127']
['873', '139', '144', '648', '748']
['624', '93', '796', '894', '279']
['310', '226', '31', '871', '496']
['809', '524', '504', '790', '105']
['899', '19', '564', '834', '763']
['351', '923', '928', '626', '366']
['109', '236', '304', '288', '405']
['382', '336', '757', '885', '864']
['451', '430', '66', '517', '378']
['932', '98', '468', '697', '803']
['555', '696', '51', '850', '590']
['761', '42', '633', '981', '187']
['300', '741', '183', '101', '586']
['341', '742', '816', '57', '308']
['416', '174', '728', '272', '959']
['162', '347', '54', '367', '823']
['75', '884', '171', '608', '337']
['69', '872', '10', '361', '963']
['680', '843', '691', '877', '59']
['312', '13', '836', '825', '812']
['707', '949', '476', '800', '511']
['7', '987', '473', '436', '465']
['297', '995', '516', '265', '47']
['799', '145', '609', '423', '720']
['876', '16', '844', '719', '730']
['552', '759', '906', '24', '61']
['494', '148', '223', '642', '751']
['979', '218', '702', '281', '44']
['14', '483', '904', '541', '315']
['372', '356', '85', '688', '980']
['848', '660', '70', '36', '520']
['638', '255', '383', '952', '588']
['919', '388', '102', '619', '583']
['635', '858', '772', '478', '942']
['87', '892', '317', '124', '298']
['4', '471', '612', '73', '621']
['913', '412', '965', '110', '710']
['817', '379', '354', '149', '28']
['438', '881', '258', '652', '629']
['747', '863', '521', '327', '814']
['962', '277', '971', '684', '426']
['217', '788', '526', '819', '235']
['225', '540', '116', '168', '195']
['119', '978', '650', '550', '201']
['890', '49', '62', '740', '422']
['931', '411', '537', '806', '115']
['663', '92', '944', '360', '334']
['470', '636', '778', '678', '615']
['525', '68', '665', '419', '793']
['889', '837', '908', '254', '575']
['170', '12', '64', '309', '500']
['783', '205', '167', '481', '184']
['166', '670', '267', '851', '602']
['60', '196', '835', '264', '117']
['432', '440', '597', '815', '83']
['529', '55', '801', '25', '639']
['228', '645', '210', '358', '287']
['829', '600', '664', '375', '916']
['141', '96', '122', '943', '502']
['716', '332', '466', '216', '249']
['592', '259', '613', '107', '274']
['428', '90', '973', '910', '368']
['459', '100', '160', '896', '705']
['603', '349', '159', '585', '253']
['324', '983', '447', '33', '114']
['934', '345', '45', '699', '381']
['598', '0', '733', '658', '861']
['940', '528', '191', '37', '859']
['856', '270', '956', '818', '129']
['539', '773', '435', '631', '845']
['292', '103', '257', '820', '232']
['30', '338', '23', '123', '605']
['409', '732', '826', '957', '306']
['11', '561', '606', '513', '708']
['155', '282', '280', '158', '736']
['498', '839', '847', '546', '414']
['860', '694', '353', '579', '391']
['955', '522', '739', '988', '314']
['533', '181', '106', '824', '651']
['975', '698', '713', '887', '827']
['591', '330', '301', '750', '991']
['425', '180', '701', '441', '771']
['562', '589', '933', '997', '206']
['682', '394', '165', '415', '250']
['551', '514', '355', '662', '557']
['261', '780', '99', '922', '63']
['925', '299', '833', '553', '323']
['673', '768', '573', '227', '8']
['813', '71', '311', '951', '283']
['572', '431', '222', '637', '687']
['685', '992', '230', '328', '914']
['404', '905', '113', '717', '377']
['714', '556', '756', '67', '151']
['446', '984', '252', '357', '433']
['986', '97', '568', '712', '576']
['958', '993', '976', '421', '27']
['737', '238', '398', '703', '389']
['448', '549', '193', '559', '994']
['909', '339', '769', '128', '507']
['178', '376', '875', '385', '443']
['29', '88', '340', '802', '291']
['671', '501', '207', '39', '578']
['947', '20', '693', '472', '469']
['480', '842', '527', '749', '831']
['467', '879', '131', '744', '891']
['614', '704', '672', '866', '822']
['488', '911', '515', '972', '804']
['534', '689', '384', '215', '202']
['386', '479', '86', '948', '156']
['241', '484', '918', '968', '3']
['945', '204', '278', '721', '194']
['268', '460', '303', '852', '565']
['574', '199', '657', '424', '791']
['35', '76', '134', '34', '935']
['403', '352', '571', '901', '293']
['700', '256', '212', '296', '417']
['371', '342', '111', '632', '715']
['401', '755', '486', '135', '84']
['725', '569', '832', '611', '754']
['208', '295', '369', '269', '490']
['587', '764', '126', '729', '455']
['897', '21', '798', '326', '221']
['370', '190', '643', '177', '505']
['456', '941', '828', '900', '154']
['666', '593', '966', '681', '400']
['508', '601', '989', '136', '640']
['374', '690', '474', '427', '630']
['89', '927', '711', '234', '618']
['523', '169', '58', '808', '676']
['954', '641', '392', '197', '777']
['344', '130', '22', '41', '262']
['150', '661', '538', '554', '163']
['52', '536', '482', '444', '492']
['967', '607', '5', '453', '244']
['121', '140', '577', '766', '939']
['706', '284', '510', '434', '229']
['152', '596', '655', '695', '709']
['138', '402', '659', '95', '867']
['745', '683', '880', '77', '869']
['731', '654', '146', '437', '81']
['961', '953', '213', '53', '776']
['2', '333', '305', '429', '94']
['243', '883', '902', '532', '898']
['335', '560', '566', '246', '239']
['907', '91', '120', '237', '461']
['653', '275', '365', '325', '452']
['80', '634', '668', '746', '805']
['307', '544', '929', '509', '112']
['18', '316', '924', '397', '78']
['895', '209', '854', '108', '738']
['50', '874', '485', '882', '646']
['125', '926', '104', '946', '48']
