['523', '50', '862', '356', '814', '652', '410', '516', '402', '783', '510', '612', '284', '241', '999', '752', '111', '943', '570', '449', '798', '33', '915', '300', '887', '994', '949', '847', '714', '498', '295', '569', '593', '657', '911', '861', '289', '69', '796', '775', '970', '565', '782', '729', '232', '264', '254', '403', '706', '611']
['184', '840', '73', '756', '101', '618', '891', '544', '560', '260', '45', '893', '55', '640', '716', '602', '220', '880', '746', '933', '32', '348', '352', '204', '376', '762', '191', '317', '628', '385', '659', '243', '619', '631', '413', '149', '274', '559', '68', '382', '730', '545', '457', '492', '77', '482', '199', '474', '894', '690']
['54', '94', '843', '268', '248', '511', '316', '705', '964', '183', '134', '236', '800', '776', '282', '445', '764', '229', '418', '879', '809', '514', '960', '95', '19', '468', '309', '589', '780', '554', '240', '591', '638', '724', '743', '968', '35', '456', '584', '178', '324', '450', '802', '448', '401', '677', '436', '821', '978', '341']
['831', '471', '826', '257', '505', '849', '78', '239', '62', '447', '575', '488', '319', '810', '957', '367', '133', '231', '908', '616', '28', '304', '936', '344', '426', '507', '741', '9', '58', '287', '886', '271', '393', '708', '733', '692', '792', '827', '462', '306', '718', '617', '562', '275', '210', '51', '864', '211', '930', '770']
['688', '917', '278', '513', '129', '610', '273', '454', '126', '85', '687', '351', '777', '920', '655', '501', '910', '895', '93', '890', '303', '49', '176', '207', '170', '971', '500', '491', '280', '721', '586', '494', '202', '423', '983', '329', '247', '867', '719', '475', '736', '90', '959', '627', '4', '212', '727', '415', '567', '338']
['16', '137', '975', '429', '806', '261', '130', '353', '954', '74', '12', '820', '572', '740', '355', '82', '414', '119', '904', '779', '81', '115', '701', '459', '598', '795', '922', '27', '434', '995', '112', '502', '173', '552', '804', '767', '918', '208', '534', '903', '230', '339', '314', '637', '154', '590', '217', '169', '888', '626']
['283', '313', '876', '463', '224', '710', '476', '717', '296', '707', '404', '161', '566', '728', '431', '253', '70', '512', '412', '641', '902', '227', '438', '592', '461', '725', '443', '121', '661', '270', '629', '984', '732', '785', '738', '411', '504', '889', '237', '597', '46', '124', '898', '720', '387', '262', '771', '787', '104', '41']
['938', '195', '869', '479', '788', '676', '581', '265', '203', '301', '234', '333', '430', '364', '668', '929', '312', '946', '818', '59', '969', '160', '357', '305', '125', '242', '928', '654', '57', '967', '576', '343', '923', '467', '122', '822', '939', '574', '263', '986', '205', '374', '982', '548', '988', '294', '845', '177', '83', '850']
['979', '872', '108', '582', '665', '980', '522', '318', '853', '521', '750', '769', '700', '745', '109', '596', '673', '390', '478', '625', '132', '288', '143', '398', '735', '336', '836', '342', '722', '696', '440', '875', '100', '377', '389', '765', '834', '157', '221', '699', '64', '851', '487', '71', '773', '892', '378', '993', '144', '681']
['218', '258', '760', '962', '680', '678', '252', '458', '973', '238', '605', '29', '256', '118', '656', '441', '421', '556', '66', '219', '76', '533', '162', '331', '123', '530', '613', '96', '860', '372', '432', '276', '433', '299', '557', '648', '992', '925', '829', '709', '981', '842', '772', '495', '643', '961', '444', '330', '679', '870']
['156', '408', '884', '825', '839', '373', '768', '91', '645', '215', '781', '464', '486', '649', '437', '784', '165', '703', '763', '963', '465', '209', '99', '366', '520', '748', '347', '955', '863', '106', '883', '293', '865', '672', '346', '245', '937', '97', '653', '797', '799', '877', '484', '439', '311', '555', '868', '174', '6', '26']
['80', '897', '391', '942', '98', '543', '683', '52', '171', '525', '603', '189', '509', '621', '290', '60', '966', '857', '651', '135', '751', '349', '63', '689', '587', '394', '473', '114', '61', '633', '337', '310', '856', '786', '907', '483', '711', '921', '739', '807', '749', '608', '577', '89', '416', '546', '539', '519', '466', '684']
['407', '477', '375', '400', '989', '168', '686', '42', '419', '365', '503', '622', '766', '912', '793', '753', '175', '472', '858', '152', '518', '405', '92', '308', '664', '819', '420', '734', '634', '835', '381', '671', '206', '828', '228', '489', '298', '120', '328', '153', '155', '682', '817', '663', '600', '620', '944', '225', '685', '22']
['361', '246', '885', '953', '325', '213', '65', '623', '658', '674', '647', '996', '88', '163', '197', '166', '10', '2', '691', '150', '214', '811', '549', '182', '901', '515', '506', '878', '670', '167', '141', '551', '190', '395', '854', '815', '24', '695', '909', '874', '194', '397', '11', '7', '632', '646', '369', '932', '737', '639']
['550', '345', '244', '23', '105', '816', '497', '585', '368', '759', '547', '249', '754', '919', '185', '226', '758', '38', '406', '542', '383', '216', '131', '428', '279', '558', '832', '113', '726', '363', '974', '291', '340', '837', '715', '838', '906', '757', '564', '43', '535', '359', '14', '87', '192', '335', '614', '146', '147', '526']
['136', '601', '116', '281', '791', '650', '17', '34', '18', '704', '145', '997', '524', '332', '20', '79', '998', '568', '39', '595', '323', '537', '320', '841', '588', '905', '693', '615', '200', '164', '924', '481', '852', '723', '0', '642', '941', '698', '8', '485', '583', '778', '607', '531', '824', '976', '927', '945', '277', '453']
['881', '914', '322', '446', '180', '958', '424', '255', '409', '127', '139', '926', '871', '36', '666', '307', '952', '379', '172', '694', '527', '536', '977', '990', '987', '251', '396', '644', '470', '138', '159', '669', '713', '731', '40', '158', '790', '873', '370', '742', '196', '859', '360', '451', '67', '422', '292', '37', '636', '297']
['186', '469', '13', '578', '985', '5', '102', '630', '667', '803', '259', '15', '371', '350', '110', '496', '250', '948', '965', '508', '148', '594', '48', '25', '223', '235', '399', '286', '538', '935', '198', '744', '579', '499', '931', '541', '107', '573', '3', '712', '950', '86', '801', '972', '702', '529', '181', '47', '913', '327']
['84', '388', '354', '362', '900', '882', '302', '896', '774', '128', '951', '442', '794', '805', '808', '813', '460', '103', '179', '563', '553', '855', '635', '528', '789', '823', '321', '285', '455', '53', '425', '846', '117', '761', '540', '266', '21', '31', '386', '269', '142', '315', '72', '44', '480', '358', '899', '517', '326', '940']
['571', '435', '604', '844', '947', '991', '193', '624', '934', '812', '30', '916', '452', '222', '151', '956', '272', '188', '75', '532', '267', '675', '755', '697', '392', '747', '660', '848', '417', '830', '490', '493', '1', '580', '140', '833', '334', '866', '561', '384', '56', '606', '233', '599', '662', '609', '187', '201', '380', '427']
