['205', '228', '627', '611', '278', '321', '467']
['582', '496', '443', '225', '242', '383', '538']
['601', '508', '250', '378', '482', '668', '534']
['554', '302', '294', '199', '165', '98', '318']
['335', '659', '26', '452', '303', '472', '182']
['576', '539', '13', '271', '507', '19', '86']
['592', '603', '110', '393', '483', '70', '172']
['306', '47', '438', '207', '610', '552', '600']
['315', '450', '497', '401', '631', '36', '476']
['362', '419', '218', '308', '73', '506', '136']
['680', '385', '485', '442', '367', '275', '179']
['227', '459', '187', '686', '391', '439', '468']
['216', '599', '104', '79', '545', '695', '185']
['621', '77', '10', '254', '314', '46', '277']
['92', '446', '502', '505', '542', '435', '301']
['406', '239', '559', '62', '5', '17', '122']
['269', '510', '492', '685', '49', '169', '263']
['76', '341', '317', '106', '241', '222', '693']
['644', '221', '281', '289', '80', '425', '129']
['304', '352', '430', '441', '157', '268', '558']
['509', '444', '578', '333', '262', '530', '173']
['195', '270', '469', '184', '25', '445', '688']
['624', '556', '156', '618', '636', '183', '639']
['170', '194', '405', '690', '503', '532', '400']
['226', '473', '230', '291', '102', '641', '654']
['368', '411', '114', '647', '28', '293', '138']
['447', '571', '612', '679', '637', '166', '656']
['361', '266', '198', '516', '620', '84', '635']
['290', '146', '233', '231', '75', '54', '100']
['332', '87', '244', '21', '689', '420', '327']
['495', '81', '402', '675', '168', '697', '588']
['428', '219', '535', '90', '97', '614', '50']
['158', '127', '18', '526', '437', '584', '298']
['180', '529', '667', '375', '152', '256', '124']
['141', '354', '330', '65', '7', '160', '372']
['161', '676', '691', '295', '203', '426', '633']
['0', '653', '553', '694', '587', '397', '192']
['37', '57', '625', '93', '537', '188', '521']
['518', '42', '51', '664', '329', '520', '399']
['27', '31', '144', '312', '651', '103', '519']
['381', '536', '602', '395', '585', '436', '171']
['460', '390', '3', '522', '432', '422', '235']
['175', '55', '379', '40', '424', '369', '392']
['143', '288', '1', '311', '640', '466', '299']
['351', '513', '409', '58', '371', '463', '498']
['386', '642', '418', '273', '45', '287', '674']
['577', '155', '130', '605', '456', '133', '671']
['238', '137', '44', '451', '458', '232', '279']
['34', '655', '190', '454', '376', '276', '326']
['648', '112', '478', '638', '253', '364', '6']
['608', '320', '449', '261', '596', '557', '150']
['563', '544', '272', '682', '370', '523', '177']
['142', '474', '359', '64', '108', '39', '33']
['377', '662', '132', '38', '500', '541', '214']
['448', '696', '560', '63', '524', '453', '300']
['398', '283', '355', '186', '331', '139', '258']
['260', '32', '345', '677', '604', '464', '120']
['328', '107', '4', '211', '251', '514', '562']
['15', '101', '148', '284', '396', '126', '423']
['440', '517', '167', '323', '213', '220', '373']
['632', '135', '404', '14', '568', '433', '652']
['35', '236', '53', '666', '698', '533', '29']
['248', '645', '41', '410', '164', '16', '249']
['634', '543', '531', '366', '546', '66', '99']
['43', '573', '78', '305', '69', '358', '181']
['628', '512', '204', '595', '487', '617', '338']
['117', '427', '60', '94', '357', '88', '363']
['540', '134', '388', '525', '8', '481', '280']
['527', '619', '594', '501', '431', '23', '356']
['91', '583', '274', '347', '201', '324', '119']
['113', '515', '549', '243', '649', '154', '613']
['589', '461', '313', '210', '569', '340', '11']
['630', '616', '387', '348', '217', '72', '484']
['9', '455', '105', '197', '470', '615', '681']
['548', '591', '224', '365', '407', '672', '471']
['480', '457', '212', '116', '550', '429', '389']
['151', '414', '292', '673', '343', '153', '572']
['196', '209', '95', '285', '462', '342', '264']
['202', '590', '257', '650', '477', '131', '574']
['229', '319', '96', '145', '12', '147', '670']
['434', '125', '609', '586', '607', '336', '162']
['403', '246', '657', '684', '307', '479', '89']
['547', '663', '350', '658', '52', '394', '59']
['163', '353', '85', '646', '412', '61', '74']
['2', '140', '206', '111', '579', '413', '325']
['71', '555', '334', '344', '566', '128', '123']
['565', '309', '564', '683', '252', '490', '121']
['475', '660', '118', '575', '234', '581', '465']
['421', '665', '687', '661', '296', '115', '493']
['597', '82', '20', '567', '56', '286', '159']
['178', '551', '24', '643', '337', '259', '322']
['360', '380', '699', '200', '247', '382', '626']
['193', '189', '489', '282', '174', '488', '30']
['68', '678', '416', '237', '504', '692', '374']
['267', '349', '593', '255', '48', '22', '528']
['346', '176', '417', '149', '191', '561', '629']
['606', '67', '240', '622', '669', '491', '297']
['408', '598', '208', '623', '339', '265', '109']
['486', '494', '384', '415', '570', '511', '83']
['316', '215', '223', '245', '310', '580', '499']
