['511', '557', '811', '229', '81', '897', '214', '217', '457', '63', '859', '836', '107', '582', '634', '207', '724', '4', '522', '608']
['279', '832', '913', '204', '359', '188', '186', '962', '22', '571', '925', '421', '427', '778', '211', '787', '957', '499', '350', '8']
['221', '240', '465', '385', '808', '633', '596', '643', '679', '343', '894', '823', '666', '195', '753', '131', '338', '369', '995', '969']
['398', '783', '843', '914', '907', '360', '18', '288', '455', '699', '54', '613', '459', '6', '468', '641', '985', '96', '408', '512']
['122', '563', '254', '257', '17', '748', '508', '980', '365', '322', '287', '628', '751', '839', '103', '815', '791', '773', '86', '818']
['53', '721', '436', '648', '65', '619', '428', '803', '517', '950', '422', '90', '109', '265', '874', '997', '187', '734', '126', '104']
['20', '463', '201', '937', '40', '467', '133', '354', '906', '853', '893', '341', '344', '329', '295', '269', '614', '199', '817', '10']
['213', '272', '819', '954', '180', '933', '73', '477', '640', '306', '372', '578', '684', '884', '48', '332', '158', '31', '977', '165']
['339', '636', '475', '435', '516', '441', '705', '501', '539', '35', '879', '349', '230', '788', '609', '34', '378', '695', '27', '672']
['471', '317', '701', '148', '88', '161', '967', '855', '752', '283', '750', '264', '624', '447', '566', '590', '659', '956', '975', '305']
['179', '402', '298', '657', '521', '880', '481', '585', '500', '830', '951', '700', '799', '712', '487', '406', '536', '953', '410', '46']
['496', '593', '955', '534', '767', '280', '714', '300', '181', '424', '498', '692', '946', '795', '136', '548', '130', '239', '649', '68']
['709', '38', '461', '992', '749', '851', '949', '655', '930', '70', '922', '167', '209', '690', '647', '562', '660', '626', '827', '258']
['929', '25', '493', '19', '986', '419', '776', '895', '171', '311', '606', '30', '153', '800', '377', '531', '342', '484', '134', '417']
['425', '297', '175', '325', '80', '260', '460', '379', '889', '603', '620', '965', '176', '989', '704', '163', '638', '759', '222', '863']
['966', '904', '769', '135', '290', '912', '492', '601', '119', '433', '352', '286', '697', '524', '841', '405', '89', '315', '840', '235']
['691', '437', '196', '644', '320', '896', '66', '197', '570', '572', '892', '716', '694', '233', '725', '719', '413', '646', '671', '589']
['687', '952', '345', '291', '670', '256', '0', '55', '36', '723', '193', '887', '244', '592', '505', '138', '798', '865', '924', '112']
['189', '242', '556', '177', '698', '826', '95', '330', '227', '814', '781', '668', '831', '568', '9', '414', '418', '74', '178', '551']
['682', '318', '216', '936', '677', '872', '561', '241', '494', '605', '789', '307', '234', '567', '336', '292', '129', '415', '42', '237']
['304', '316', '627', '809', '651', '393', '32', '917', '890', '958', '558', '334', '403', '777', '824', '983', '491', '366', '121', '76']
